humid,temp,press,gas,tvoc,altitude,eCO2,H2,quality
58.98,28.21,1010.93,61.82,19.31,19.31,19.31,19.31,good
58.96,28.21,1010.93,61.332,19.33,19.33,19.33,19.33,good
58.95,28.22,1010.94,61.508,19.29,19.29,19.29,19.29,good
58.9,28.22,1010.93,61.865,19.29,19.29,19.29,19.29,good
58.82,28.22,1010.94,61.42,19.24,19.24,19.24,19.24,good
58.79,28.22,1010.93,61.776,19.3,19.3,19.3,19.3,good
58.82,28.23,1010.93,61.42,19.3,19.3,19.3,19.3,good
58.82,28.23,1010.94,61.2,19.22,19.22,19.22,19.22,good
58.82,28.23,1010.94,61.376,19.25,19.25,19.25,19.25,good
58.81,28.23,1010.94,61.376,19.27,19.27,19.27,19.27,good
58.87,28.24,1010.93,61.244,19.32,19.32,19.32,19.32,good
58.87,28.24,1010.93,60.634,19.37,19.37,19.37,19.37,good
59.01,28.24,1010.93,60.937,19.35,19.35,19.35,19.35,good
58.99,28.25,1010.92,60.677,19.38,19.38,19.38,19.38,good
58.95,28.26,1010.92,60.764,19.38,19.38,19.38,19.38,good
59.35,28.26,1010.92,60.164,19.41,19.41,19.41,19.41,good
59.21,28.27,1010.92,60.079,19.46,19.46,19.46,19.46,good
59.02,28.27,1010.91,60.377,19.5,19.5,19.5,19.5,good
58.96,28.28,1010.91,60.292,19.5,19.5,19.5,19.5,good
58.86,28.29,1010.9,60.377,19.58,19.58,19.58,19.58,good
59.07,28.3,1010.91,60.249,19.52,19.52,19.52,19.52,good
59.11,28.3,1010.9,59.911,19.55,19.55,19.55,19.55,good
59.05,28.3,1010.9,60.079,19.54,19.54,19.54,19.54,good
59.01,28.3,1010.9,59.827,19.54,19.54,19.54,19.54,good
58.93,28.3,1010.91,60.037,19.51,19.51,19.51,19.51,good
58.8,28.29,1010.9,60.164,19.58,19.58,19.58,19.58,good
58.75,28.29,1010.9,60.206,19.58,19.58,19.58,19.58,good
58.66,28.28,1010.9,60.377,19.61,19.61,19.61,19.61,good
58.57,28.27,1010.9,60.292,19.62,19.62,19.62,19.62,good
58.54,28.26,1010.89,60.249,19.68,19.68,19.68,19.68,good
58.46,28.25,1010.88,60.292,19.73,19.73,19.73,19.73,good
58.45,28.23,1010.87,60.42,19.83,19.83,19.83,19.83,good
58.5,28.22,1010.87,60.505,19.87,19.87,19.87,19.87,good
58.61,28.2,1010.86,60.548,19.95,19.95,19.95,19.95,good
58.64,28.18,1010.86,60.377,19.95,19.95,19.95,19.95,good
58.64,28.17,1010.85,60.164,19.98,19.98,19.98,19.98,good
58.66,28.15,1010.84,60.677,20.05,20.05,20.05,20.05,good
58.68,28.13,1010.84,60.548,20.12,20.12,20.12,20.12,good
58.76,28.11,1010.83,60.505,20.2,20.2,20.2,20.2,good
58.83,28.1,1010.82,60.462,20.25,20.25,20.25,20.25,good
58.9,28.08,1010.82,60.42,20.25,20.25,20.25,20.25,good
58.91,28.07,1010.82,60.721,20.29,20.29,20.29,20.29,good
58.89,28.05,1010.81,59.995,20.3,20.3,20.3,20.3,good
58.87,28.04,1010.81,59.953,20.33,20.33,20.33,20.33,good
58.9,28.03,1010.81,60.42,20.37,20.37,20.37,20.37,good
59.02,28.01,1010.81,59.743,20.35,20.35,20.35,20.35,good
59.01,28,1010.8,59.827,20.42,20.42,20.42,20.42,good
59.12,27.99,1010.79,59.618,20.47,20.47,20.47,20.47,good
59.25,27.98,1010.79,60.206,20.48,20.48,20.48,20.48,good
59.18,27.97,1010.79,59.785,20.51,20.51,20.51,20.51,good
59.27,27.96,1010.78,60.334,20.56,20.56,20.56,20.56,good
59.28,27.95,1010.78,60.122,20.59,20.59,20.59,20.59,good
59.22,27.94,1010.77,60.548,20.65,20.65,20.65,20.65,good
59.19,27.93,1010.77,59.995,20.67,20.67,20.67,20.67,good
59.18,27.92,1010.76,59.995,20.73,20.73,20.73,20.73,good
59.17,27.91,1010.76,60.334,20.74,20.74,20.74,20.74,good
59.15,27.91,1010.76,60.292,20.79,20.79,20.79,20.79,good
59.21,27.9,1010.75,60.249,20.84,20.84,20.84,20.84,good
59.3,27.89,1010.74,60.42,20.91,20.91,20.91,20.91,good
59.28,27.89,1010.74,60.206,20.88,20.88,20.88,20.88,good
59.25,27.88,1010.74,59.995,20.91,20.91,20.91,20.91,good
59.23,27.87,1010.73,60.079,20.97,20.97,20.97,20.97,good
59.21,27.87,1010.74,59.827,20.95,20.95,20.95,20.95,good
59.21,27.86,1010.74,60.249,20.94,20.94,20.94,20.94,good
59.26,27.85,1010.72,59.953,21.05,21.05,21.05,21.05,good
59.29,27.85,1010.71,59.911,21.13,21.13,21.13,21.13,good
